Lisandra Fernandes                        39 years
Denner Fernandes Da Costa                 13 years
João Ferreira Pereira Santos              25 years
Denner                                    23 years
Lara                                      23 years
Ana Paula Vieira                          32 years
Cláudio Mendonça                          18 years
Gustavo Guanabara                         41 years
Maria Clara Peixoto                       65 years
Maurício Souza                            19 years
Nilce Pedrosa                             43 years
Pedro Gonçalves                           18 years
Rafael Alburquerque                       38 years
Renata Soares                             13 years
Zuleide Lima                              55 years
Pedro Paulo Pereira                       30 years
Denner                                    13 years
Denner Fernandes Da Costa                 13 years
Denenr Fernandes Da Costa                 13 years
João José Mario                           36 years
